"","time","y"
"1","Jan 1999",0.8211
"2","Feb 1999",0.7761
"3","Mar 1999",0.829
"4","Apr 1999",0.7603
"5","May 1999",0.6701
"6","Jun 1999",0.5187
"7","Jul 1999",0.5066
"8","Aug 1999",0.4027
"9","Sep 1999",0.4457
"10","Oct 1999",0.5806
"11","Nov 1999",0.7618
"12","Dec 1999",0.8241
"13","Jan 2000",0.8428
"14","Feb 2000",0.8543
"15","Mar 2000",0.8673
"16","Apr 2000",0.8345
"17","May 2000",0.7504
"18","Jun 2000",0.6198
"19","Jul 2000",0.5575
"20","Aug 2000",0.4317
"21","Sep 2000",0.6281
"22","Oct 2000",0.5083
"23","Nov 2000",0.8034
"24","Dec 2000",0.8481
"25","Jan 2001",0.7986
"26","Feb 2001",0.749
"27","Mar 2001",0.8168
"28","Apr 2001",0.7445
"29","May 2001",0.6935
"30","Jun 2001",0.5771
"31","Jul 2001",0.4527
"32","Aug 2001",0.443
"33","Sep 2001",0.5073
"34","Oct 2001",0.6828
"35","Nov 2001",0.7858
"36","Dec 2001",0.8181
"37","Jan 2002",0.8367
"38","Feb 2002",0.841
"39","Mar 2002",0.8242
"40","Apr 2002",0.7883
"41","May 2002",0.7024
"42","Jun 2002",0.582
"43","Jul 2002",0.4984
"44","Aug 2002",0.3864
"45","Sep 2002",0.5084
"46","Oct 2002",0.439
"47","Nov 2002",0.7228
"48","Dec 2002",0.7648
"49","Jan 2003",0.8483
"50","Feb 2003",0.8306
"51","Mar 2003",0.8539
"52","Apr 2003",0.8436
"53","May 2003",0.7862
"54","Jun 2003",0.6626
"55","Jul 2003",0.5402
"56","Aug 2003",0.5007
"57","Sep 2003",0.4939
"58","Oct 2003",0.5611
"59","Nov 2003",0.7476
"60","Dec 2003",0.7417
"61","Jan 2004",0.8798
"62","Feb 2004",0.8861
"63","Mar 2004",0.859
"64","Apr 2004",0.8632
"65","May 2004",0.851
"66","Jun 2004",0.7724
"67","Jul 2004",0.6853
"68","Aug 2004",0.4874
"69","Sep 2004",0.3486
"70","Oct 2004",0.5956
"71","Nov 2004",0.7398
"72","Dec 2004",0.8072
"73","Jan 2005",0.8497
"74","Feb 2005",0.8203
"75","Mar 2005",0.8521
"76","Apr 2005",0.8396
"77","May 2005",0.7802
"78","Jun 2005",0.7111
"79","Jul 2005",0.5583
"80","Aug 2005",0.4574
"81","Sep 2005",0.4578
"82","Oct 2005",0.4161
"83","Nov 2005",0.7622
"84","Dec 2005",0.8354
"85","Jan 2006",0.7857
"86","Feb 2006",0.8225
"87","Mar 2006",0.855
"88","Apr 2006",0.8427
"89","May 2006",0.7565
"90","Jun 2006",0.703
"91","Jul 2006",0.5501
"92","Aug 2006",0.4573
"93","Sep 2006",0.6045
"94","Oct 2006",0.8071
"95","Nov 2006",0.8355
"96","Dec 2006",0.8251
"97","Jan 2007",0.8453
"98","Feb 2007",0.8765
"99","Mar 2007",0.8248
"100","Apr 2007",0.7918
"101","May 2007",0.699
"102","Jun 2007",0.5963
"103","Jul 2007",0.5078
"104","Aug 2007",0.4149
"105","Sep 2007",0.355
"106","Oct 2007",0.464
"107","Nov 2007",0.6987
"108","Dec 2007",0.7925
"109","Jan 2008",0.8062
"110","Feb 2008",0.8305
"111","Mar 2008",0.8592
"112","Apr 2008",0.8373
"113","May 2008",0.796
"114","Jun 2008",0.7476
"115","Jul 2008",0.6141
"116","Aug 2008",0.4736
"117","Sep 2008",0.4305
"118","Oct 2008",0.4808
"119","Nov 2008",0.6835
"120","Dec 2008",0.8208
"121","Jan 2009",0.8398
"122","Feb 2009",0.8271
"123","Mar 2009",0.8198
"124","Apr 2009",0.8634
"125","May 2009",0.8227
"126","Jun 2009",0.7394
"127","Jul 2009",0.6038
"128","Aug 2009",0.5616
"129","Sep 2009",0.6352
"130","Oct 2009",0.7435
"131","Nov 2009",0.7908
"132","Dec 2009",0.8455
"133","Jan 2010",0.8106
"134","Feb 2010",0.7748
"135","Mar 2010",0.8389
"136","Apr 2010",0.7884
"137","May 2010",0.6823
"138","Jun 2010",0.5732
"139","Jul 2010",0.5086
"140","Aug 2010",0.4066
"141","Sep 2010",0.3443
"142","Oct 2010",0.6519
"143","Nov 2010",0.7986
"144","Dec 2010",0.8378
"145","Jan 2011",0.8509
"146","Feb 2011",0.8157
"147","Mar 2011",0.8695
"148","Apr 2011",0.8399
"149","May 2011",0.77
"150","Jun 2011",0.6857
